Value;CenterX;CenterY;Rotation;Designator
10u;  720;  500; 90;C1 
10n;  720;  330;270;C2 
33p;  500;  150;180;C3 
100n;  270; 1770;  0;C4 
10n;  270; 1870;  0;C5 
100n; 1190;  870; 90;C6 
10u;  390; 2180;270;C7 
100n;  470; 2180;270;C8 
100n;  150; 2180;270;C9 
10u;  460; 1030;270;C10 
10u;  460;  870; 90;C11 
100n;  260;  340; 90;C12 
100u;  520;  610;  0;C13 
100u;  650;  950;  0;C14 
10u;  340;  560;270;C15 
SS25;  120;  320;270;D1 
PIC16F15324-I/SL;  180; 1550;  0;IC1 
AOZ1283PI;  500;  300;270;IC2 
MCP1826S-3302E/DB;  210;  950; 90;IC3 
ST485BDR; 1150;  690;  0;IC4 
615006138421; 1250;  411;  0;J1 
;  950; 1400;270;JP1 
;  130; 2040;270;JP2 
SRN6045TA-220M;  160;  600; 90;L1 
200k;  340;  150;  0;R1 
10k;  110; 1770;  0;R2 
470R;  110; 1870;  0;R3 
20k; 1340;  690; 90;R4 
120R; 1420;  690;270;R5 
20k; 1500;  690; 90;R6 
10k;  910;  990;180;R7 
10k;  910; 1190;  0;R8 
10k; 1070;  990;  0;R9 
10k; 1070; 1190;  0;R10 
10k;  560; 1220;270;R11 
10k;  360; 1220; 90;R12 
10k;  910;  670;180;R13 
10k;  910;  870;  0;R14 
100R;  420; 1500;180;R15 
100R;  420; 1420;180;R16 
10k;  610; 1440;  0;R17 
10k;  770; 1360;180;R18 
10k;  770; 1440;180;R19 
10k;  310; 2180;270;R20 
10k;  230; 2180;270;R21 
12k;  500;   70;180;R22 
10k;  900;  170; 90;R23 
68k;  900;  330; 90;R24 
43k;  820;  330; 90;R25 
8k2;  720;  170; 90;R26 
;  420; 1800;270;SV1 
; 1350; 1250;180;SV2 
; 1400; 1400;  0;SV3 
BSS138;  910; 1090;180;T1 
BSS138; 1070; 1090;180;T2 
BSS138;  460; 1220;270;T3 
BSS138;  910;  770;180;T4 
ESP-12F;  911; 1894;270;U1 
